crude_oil_type,cost_per_barrel_today,purchase_location,refinery_location,lead_time_days,refinery_processing_time_days,production_cost,method_of_moving,method_capacity,number_of_barrels,delivery_method,delivery_time_days,delivery_location,delivery_capacity,optimized_cost
Type B,53.32481336833887,Location 2,Refinery 3,3,1,59.754075064327104,Pipe,4187.446281104764,247,Pipe,4,Customer A,2356.5232619388107,73.44048115604878
Type A,87.05603246450295,Location 1,Refinery 2,10,4,68.46306919888877,Ship,2363.8662538499384,464,Rail,11,Customer C,1282.0198222730291,139.96312902112626
Type B,78.7236556589956,Location 3,Refinery 3,2,4,73.15483972984549,Road,4221.865132162347,463,Ship,10,Customer C,3320.15395160369,120.24445903450535
Type A,92.0914388379136,Location 2,Refinery 1,25,1,68.96474254060108,Ship,2354.4449164505304,751,Road,10,Customer C,3878.7782858433497,144.49503384125364
Type B,56.988618831314476,Location 2,Refinery 2,3,6,21.136724202461274,Road,1221.7319557649353,801,Pipe,12,Customer A,1376.9614019089897,75.22887532194574
Type C,89.76336559299452,Location 3,Refinery 1,16,4,64.15507721311933,Pipe,3216.7506040191647,501,Rail,14,Customer B,3535.070639193984,128.969314695179
Type C,60.08136600238723,Location 3,Refinery 3,2,1,32.5039744170999,Pipe,3351.6092995792583,705,Ship,9,Customer B,2145.4642715486343,57.627443047460844
Type A,58.18279714328523,Location 3,Refinery 2,28,1,27.97568256247896,Ship,4738.16098248744,591,Rail,8,Customer C,4056.976884879247,53.48297176714781
Type C,58.21328989654965,Location 3,Refinery 1,24,1,58.309327087948134,Road,3904.245304249898,328,Ship,11,Customer B,3158.463402407348,90.96884522039812
Type C,90.72873601156911,Location 1,Refinery 3,10,8,39.1845917244617,Rail,4671.0906099777585,674,Pipe,4,Customer B,1516.1471512417468,89.54971093838701
Type B,83.25986103481,Location 3,Refinery 1,6,8,23.427029802226595,Pipe,4633.388840972038,951,Road,12,Customer C,3106.077790932944,68.80457393262438
Type A,76.15327123845597,Location 2,Refinery 1,22,2,28.25778406390168,Ship,3418.2964410329687,636,Pipe,7,Customer A,2582.9474534668743,82.25430627608334
Type B,67.94152420617513,Location 2,Refinery 1,26,7,20.055765012197664,Ship,3111.0482613457903,367,Rail,10,Customer C,1721.4238731266078,70.99014852115259
Type B,93.86002704065541,Location 1,Refinery 3,11,8,74.19341764068244,Road,3229.7638686543996,504,Rail,3,Customer B,4366.0628962484925,141.57438531589497
Type B,69.62225537113177,Location 2,Refinery 3,23,8,21.477079030474314,Ship,4913.323230708991,892,Ship,9,Customer A,1044.1137939965447,57.057834423104424
Type B,90.82997197357886,Location 2,Refinery 1,7,7,32.567346170570666,Pipe,4092.6707669878356,110,Pipe,10,Customer B,2248.5131075124236,81.28732133704064
Type B,71.95674542851091,Location 3,Refinery 2,27,5,44.97576684127444,Ship,1425.0636191695835,419,Ship,4,Customer A,1050.380152677707,112.30955692818958
Type B,68.84722147124538,Location 2,Refinery 2,29,1,41.394279557049146,Ship,4113.7136271255995,812,Pipe,2,Customer B,1384.0277860246108,82.06711441105762
Type B,73.13398928348032,Location 1,Refinery 3,15,9,74.70355261476655,Rail,1682.1521955929034,225,Rail,10,Customer C,2188.3848766923243,143.94039524076575
Type A,65.0688937082071,Location 3,Refinery 3,6,7,22.41733674407253,Rail,2789.4021960225027,405,Ship,5,Customer B,1217.0847415574945,75.40645911067888
Type C,87.38046900881255,Location 3,Refinery 3,20,2,50.732882460623095,Pipe,1841.838688706137,801,Ship,2,Customer B,3386.5221294285648,129.49833640295628
Type B,75.13601950462396,Location 1,Refinery 3,27,6,60.828767751462436,Road,3758.3322621329194,610,Pipe,14,Customer A,1347.4516319447312,104.8103081780784
Type B,61.61063475734086,Location 3,Refinery 3,9,2,75.90187842087013,Rail,4509.2389447721425,188,Road,10,Customer B,3806.854536264381,93.56888618232809
Type B,94.97872866372842,Location 3,Refinery 2,22,1,57.22227512742326,Road,2161.447541466724,454,Pipe,6,Customer C,1210.5684505086444,145.18098762444558
Type B,69.19456106866056,Location 1,Refinery 3,20,7,68.22531416070576,Pipe,1328.0429648327504,727,Road,11,Customer C,1237.2355792043872,131.38803503629407
Type B,77.17764305569943,Location 3,Refinery 1,12,2,25.023496270720905,Rail,2193.972392299853,451,Pipe,10,Customer C,2221.303596133065,80.33268911402958
Type B,95.32360554822735,Location 1,Refinery 1,19,2,43.15637065621564,Road,3689.4474317287777,788,Rail,1,Customer A,4586.28609987711,114.95384639522563
Type C,81.21189979569961,Location 1,Refinery 2,20,5,42.43682806874405,Rail,2315.0405102177997,113,Ship,14,Customer A,3565.572994893266,114.32272306673022
Type C,55.8449020354182,Location 2,Refinery 1,3,5,73.17729298734307,Pipe,2112.4486702152135,356,Pipe,6,Customer B,4080.5251677156775,103.53500460682513
Type B,96.99160618067376,Location 2,Refinery 2,15,7,29.082270275796496,Pipe,1737.7407623370598,308,Rail,4,Customer B,1566.2084379084242,113.82150210582125
Type C,81.38540265357089,Location 3,Refinery 2,2,1,29.113170340197815,Rail,2990.0657074977344,380,Pipe,3,Customer B,4336.501732988983,88.12126680287884
Type A,66.7452807328543,Location 3,Refinery 1,21,8,39.713488993147905,Road,2103.7953126287503,542,Ship,2,Customer A,1032.5849927769407,102.5850379501864
Type B,56.96360363316936,Location 1,Refinery 3,2,3,23.267962842010256,Ship,3924.041396557933,939,Pipe,7,Customer A,1852.2294029320246,36.9042949305944
Type A,89.7012594635148,Location 3,Refinery 1,22,4,30.947482439149404,Ship,1306.4896079688108,936,Road,9,Customer B,3464.369284599974,109.83939904841715
Type A,81.00363779642568,Location 1,Refinery 1,3,9,77.9125783127441,Rail,3656.13213244527,488,Ship,12,Customer A,2500.9856343762012,127.89748436402144
Type B,76.67305459881608,Location 1,Refinery 2,6,4,45.69103639203037,Road,1950.2400582710795,716,Road,3,Customer A,4936.773566874253,105.58135043194201
Type C,94.69462915254789,Location 3,Refinery 1,15,5,57.921152505346186,Ship,2957.1170442064126,582,Rail,6,Customer C,1121.356987273273,132.9533206994653
Type A,89.42986056122655,Location 1,Refinery 2,27,7,63.56667556067821,Pipe,2144.3596881250423,246,Rail,9,Customer C,4994.392671746173,150.32624895987405
Type B,57.58374398663756,Location 2,Refinery 3,10,4,42.01768442043203,Road,3891.0747040431825,378,Pipe,2,Customer B,3494.511331445264,62.109334279657666
Type A,65.5861033897774,Location 3,Refinery 3,9,1,28.83362446463102,Ship,4781.228161006547,620,Road,7,Customer B,3234.827978384386,49.24671861141345
Type A,62.424456990723286,Location 2,Refinery 3,1,9,32.39486097330685,Road,4668.3071178792525,729,Road,5,Customer C,1238.0497702558976,46.84095416670862
Type A,87.19731462863385,Location 3,Refinery 1,16,4,38.79598859483662,Rail,3333.7048605763644,705,Ship,5,Customer A,2093.3155066635627,97.54007945280436
Type A,51.67662173678897,Location 1,Refinery 2,6,9,58.16410522113354,Road,2850.4412130279134,533,Road,11,Customer B,4698.650753166383,89.86011079426551
Type C,78.49448424356582,Location 3,Refinery 3,9,6,43.89683294534326,Ship,4273.202037757527,243,Road,7,Customer B,2416.984012756977,86.6796397180559
Type A,88.12293428703452,Location 2,Refinery 2,27,1,20.408881874007687,Rail,3733.30545051092,388,Ship,9,Customer B,3646.6128018690038,77.18405280537932
Type A,93.83828183808748,Location 1,Refinery 2,4,3,51.404431104048314,Road,1734.2564568677315,485,Ship,4,Customer A,4997.985401674887,134.42566658304105
Type A,67.10408743579538,Location 3,Refinery 3,27,2,75.29080351444507,Pipe,4283.676854452001,113,Road,9,Customer C,2052.2788553341647,111.90777203282943
Type C,91.06286523360063,Location 3,Refinery 3,28,9,68.72465666052074,Ship,2715.5375575788407,356,Pipe,14,Customer B,3304.323516057975,153.18797335247257
Type A,55.53158684776036,Location 3,Refinery 2,2,1,69.51268227557787,Rail,1755.9426398847004,445,Ship,13,Customer C,3785.7511708088527,103.71115249476004
Type A,92.3226145867259,Location 2,Refinery 3,29,9,67.70348105636788,Road,2127.18940158597,797,Ship,11,Customer C,1658.5089862616605,151.32576153374592
Type C,56.37443311659912,Location 2,Refinery 2,4,9,39.42384953662542,Pipe,2070.108120993369,444,Road,10,Customer A,1594.6902547847285,81.05576293382418
Type C,69.86436452801837,Location 3,Refinery 2,1,8,65.91163002526352,Ship,3076.8278984138406,499,Road,9,Customer A,2825.231646632693,102.42541512829511
Type C,89.86476828897767,Location 1,Refinery 3,19,8,28.58968146867158,Pipe,1937.480362711502,306,Ship,13,Customer A,2543.2500870371578,109.6052402768254
Type A,57.49587136743869,Location 1,Refinery 1,26,1,59.46296883655721,Road,1494.2659496063047,957,Road,4,Customer A,3856.861747429255,109.2658133961365
Type C,61.462569761632075,Location 2,Refinery 3,25,8,58.49411400109966,Road,1494.763402455043,271,Ship,3,Customer A,1278.035085794345,117.95220107282306
Type C,86.1126284196533,Location 1,Refinery 1,10,3,21.53418794538408,Rail,3333.1047885563867,563,Pipe,2,Customer A,4888.666494962761,80.05649732044904
Type A,86.00182682730372,Location 2,Refinery 2,21,7,67.2782080154559,Pipe,3939.037155397514,369,Pipe,9,Customer B,1057.1079267433295,126.56595296328827
Type C,82.05738164426486,Location 3,Refinery 2,15,1,74.19488630570783,Rail,2286.132035353363,320,Ship,12,Customer C,3405.2672973446047,139.3672112401073
Type A,84.697422223355,Location 2,Refinery 1,27,1,36.04491670832646,Ship,1138.6028392560684,251,Ship,2,Customer A,3250.5303834695533,124.82306204071149
Type B,77.13622216737981,Location 2,Refinery 2,22,5,68.74344345116904,Rail,1508.899547748043,722,Rail,6,Customer B,1538.8629234789032,144.02966536862863
Type C,62.58995294534763,Location 3,Refinery 1,19,5,24.94435831171689,Ship,4658.778241348228,282,Rail,5,Customer C,1603.6639308541191,51.499695524898236
Type B,67.28479967519597,Location 1,Refinery 1,16,8,55.998071495663964,Road,2974.174638357812,498,Road,14,Customer A,4170.709951178507,100.81187212372632
Type A,59.079885840071285,Location 2,Refinery 2,21,7,49.138811920056625,Road,2814.291238460699,950,Road,5,Customer A,4550.249833650732,98.01700412341346
Type C,95.42252806668142,Location 2,Refinery 1,27,8,52.75541199854,Pipe,1152.1967132403636,171,Ship,4,Customer B,2132.0678635350782,154.4874089739808
Type A,79.16958973830603,Location 3,Refinery 3,24,6,75.5723121130607,Ship,3914.5480892675964,517,Ship,6,Customer C,2751.8558558502737,124.2158766392308
Type B,70.042570838182,Location 1,Refinery 3,22,6,72.27891483481122,Road,3112.2723237283158,997,Rail,5,Customer A,2419.980164153414,127.24318181416254
Type A,73.10029018220663,Location 2,Refinery 2,4,2,67.10501943438543,Pipe,1808.323744346083,382,Rail,11,Customer C,1290.1880519466076,129.0995403578946
Type C,97.36416698059077,Location 3,Refinery 2,2,6,36.42190746070226,Pipe,1440.2950407242288,173,Ship,4,Customer B,3692.8169840632377,121.77530023758985
Type C,57.66757015580401,Location 2,Refinery 1,25,5,74.7091177211655,Rail,2533.551454527994,454,Pipe,13,Customer A,4300.7717392227605,120.96573670131653
Type B,79.31149160083986,Location 3,Refinery 1,13,3,25.850461547832516,Pipe,4348.647856780102,826,Pipe,9,Customer C,2219.5174295648285,58.78112118395531
Type A,75.2944339442233,Location 1,Refinery 1,28,6,71.19975299352727,Road,4461.178236804099,596,Road,13,Customer B,4960.703174522873,113.46519918642595
Type C,80.57271177173239,Location 1,Refinery 1,1,8,39.689604341216466,Rail,3411.3855215825456,427,Ship,6,Customer B,1303.4062291294197,93.26693297888666
Type B,50.90550919104203,Location 1,Refinery 3,17,9,23.226338699719,Ship,3910.1457089205705,634,Ship,11,Customer A,3647.1628552580837,42.31727481054263
Type C,93.60619544720757,Location 1,Refinery 3,13,1,60.1614190544449,Ship,1460.6231496114815,679,Road,10,Customer C,2792.9120581043558,145.1621733946308
Type C,96.60591412418063,Location 2,Refinery 2,4,3,33.876795698957324,Road,3352.504261871419,546,Rail,10,Customer A,2786.4076044266235,95.56456655409492
Type A,78.25665917946044,Location 2,Refinery 1,7,3,34.614267551877916,Road,3667.862813948727,472,Rail,13,Customer A,2830.582464134161,81.74637651600975
Type C,84.8325411938446,Location 1,Refinery 1,17,8,38.36282997372629,Rail,1802.8513716551688,461,Pipe,10,Customer C,2034.7270952057138,118.03557022673368
Type A,96.12496905886479,Location 1,Refinery 2,9,1,23.821086050151003,Rail,4520.6189316410355,192,Ship,13,Customer C,3862.25130932893,81.64223910128135
Type C,85.36193171566993,Location 1,Refinery 1,4,5,30.627628651895243,Road,1779.9869500840791,420,Rail,3,Customer C,3886.3061043401076,95.99288606869086
Type B,57.62695214571307,Location 2,Refinery 1,19,3,20.30837765513362,Road,2253.9094393858018,423,Pipe,10,Customer B,2129.5884404233084,66.32974594117144
Type C,78.81441800834065,Location 1,Refinery 1,1,2,46.72457126634721,Ship,3482.227388093834,483,Pipe,6,Customer B,4341.2258434338,99.69956420035896
Type A,80.3357523191428,Location 1,Refinery 1,10,8,25.055322645078277,Ship,3553.400260522923,674,Pipe,14,Customer C,2267.3797746013197,80.99951605141516
Type A,71.2065335651193,Location 1,Refinery 1,4,3,60.95915630265194,Ship,3797.538963949469,835,Rail,1,Customer B,3900.372495946169,97.556956408732
Type B,86.82221178123615,Location 3,Refinery 2,9,7,34.137371071498904,Road,1448.0468522728227,836,Rail,5,Customer A,1483.9990700482658,103.42424262065161
Type C,96.71835073845074,Location 1,Refinery 1,13,1,76.61444864211063,Pipe,4397.857719714221,980,Ship,10,Customer C,1674.8065712149828,134.90743979287018
Type C,96.27842564533881,Location 3,Refinery 2,14,6,72.27509764391915,Road,3131.3885291330394,445,Ship,6,Customer A,2263.1825780330046,154.2714659011656
Type B,72.5419685702066,Location 3,Refinery 1,10,3,37.3664536980925,Road,2885.2871764202737,948,Pipe,11,Customer C,3375.495070671446,93.54858468416187
Type C,55.661902292037766,Location 1,Refinery 3,6,8,66.99292727940073,Ship,4924.390498054038,202,Pipe,8,Customer A,3582.0459419147974,81.11801621483042
Type C,99.24205994811672,Location 3,Refinery 3,16,6,68.19469427988838,Road,3961.513187764079,314,Rail,11,Customer C,2585.4246878698996,134.02497028989038
Type A,91.94490432229671,Location 1,Refinery 3,6,2,79.19378684686463,Rail,1472.0241064774996,291,Rail,9,Customer A,1311.356612442056,160.2798450166136
Type C,56.233134060163344,Location 2,Refinery 3,17,6,55.8703992107411,Road,4026.1566689049628,771,Ship,11,Customer C,2494.5386083708972,86.00937074878244
Type C,96.04209413086862,Location 2,Refinery 2,10,7,24.917944078619733,Road,1380.995735891478,983,Ship,3,Customer C,3755.070063836606,118.95277681871987
Type B,93.49481810310641,Location 2,Refinery 2,18,5,58.810233735582855,Road,1109.8822500519393,818,Road,2,Customer B,3683.9818445212636,153.26933086639903
Type B,75.94190285630361,Location 2,Refinery 1,27,3,57.498784902562114,Road,2614.5035810795885,880,Ship,13,Customer A,1640.785652821771,125.97085036165808
Type A,79.56377178724647,Location 3,Refinery 3,22,4,58.301034645225904,Pipe,4974.312691276875,293,Rail,4,Customer B,1031.1358810758686,100.02821662138939
Type C,69.95013519350651,Location 1,Refinery 2,18,4,38.42873888625269,Road,1699.5357447794506,479,Pipe,8,Customer A,4011.9264691844674,101.06898331651138
Type C,52.73808194110157,Location 1,Refinery 1,3,6,71.58077510481998,Rail,3690.5773741071603,502,Road,11,Customer B,1425.472665540975,88.41850819598992
Type C,66.75986208229504,Location 1,Refinery 1,20,1,77.5683309773247,Rail,1693.5842648244775,763,Ship,8,Customer C,1329.3965758571421,139.81503457321665
Type A,90.14267242990057,Location 2,Refinery 2,27,4,33.06275077868909,Road,3899.147899833544,848,Ship,3,Customer B,1010.8048673366538,103.9156455714233
Type A,50.23160115023014,Location 2,Refinery 3,21,4,25.289129488198668,Ship,3021.4146729513045,699,Rail,4,Customer B,2730.405303827709,60.54880326259318
Type B,66.6749585845572,Location 1,Refinery 1,25,1,31.672101990109045,Pipe,3719.886840357505,110,Road,3,Customer C,3013.0556036032576,67.85800976433065
Type A,69.90843467954717,Location 2,Refinery 3,28,9,69.23312835534313,Road,1811.4927036569384,286,Ship,10,Customer B,3550.6561845943625,131.9042644224565
Type C,76.86978014689615,Location 1,Refinery 3,15,4,60.59867808919085,Road,3982.513330082008,825,Pipe,2,Customer C,2184.2553628503433,111.86152435282924
Type C,95.99278082063802,Location 1,Refinery 3,15,7,58.162840540347595,Road,4982.476238490826,114,Rail,4,Customer A,3841.69886554712,114.81372304499955
Type A,67.31729971829806,Location 1,Refinery 1,4,3,44.10758810656547,Ship,3662.6020025038392,877,Road,6,Customer B,1677.3274296277664,78.77710855720844
Type C,67.34766009481139,Location 1,Refinery 3,29,3,54.66967829068614,Ship,2973.9199922915104,396,Ship,11,Customer C,4327.96021244139,108.64371163103256
Type C,86.87506240548743,Location 1,Refinery 1,27,8,38.47244751646204,Ship,4692.69595447706,510,Ship,14,Customer C,3287.3933155617824,103.0787478850467
Type A,72.61089704449036,Location 1,Refinery 3,9,8,48.63200476507768,Pipe,1063.407368927505,684,Road,11,Customer B,3335.559293488194,115.27740402951338
Type A,61.2302411469991,Location 1,Refinery 1,27,1,67.58378170223935,Rail,3919.6940771432846,151,Rail,5,Customer A,1839.1016551164325,109.00025275618633
Type C,72.62197580663467,Location 2,Refinery 3,26,2,78.87449584732772,Pipe,4554.986067255251,739,Road,3,Customer B,1296.434997201553,120.7146461030107
Type C,57.04285101898999,Location 1,Refinery 2,19,8,75.9493354153881,Ship,1246.6983344838297,127,Road,2,Customer C,2858.899212322686,124.42263819321452
Type C,58.819349325311165,Location 1,Refinery 3,24,1,76.03195657077492,Rail,2800.256681663033,676,Rail,9,Customer A,3462.4478076894356,115.0244776793927
Type B,74.91838863697399,Location 2,Refinery 3,28,8,44.13342409082674,Rail,1818.8778157999957,116,Ship,1,Customer B,1380.1858346467425,114.22788165132104
Type B,70.9462724752274,Location 2,Refinery 1,17,8,48.12739283040746,Ship,3266.07266235132,450,Pipe,9,Customer C,4802.137898112666,102.77847875445224
Type B,95.742295053405,Location 2,Refinery 1,11,2,62.338123782138894,Ship,3598.171834414642,527,Rail,1,Customer B,4921.657440931227,134.33518952536033
Type A,68.11969495583165,Location 1,Refinery 3,25,4,75.33151568307706,Pipe,2210.49273171502,749,Pipe,14,Customer A,3181.826781569968,136.8155525756502
Type B,79.02941751390217,Location 3,Refinery 2,9,6,28.519655561125077,Ship,2839.9266787124034,930,Ship,7,Customer A,4800.276621093624,82.83593988949674
Type A,81.61321439597651,Location 3,Refinery 2,10,9,38.254511829631745,Rail,2117.3579411062383,328,Road,6,Customer A,1717.7809503234123,101.83924123429469
Type A,50.654722829416684,Location 2,Refinery 1,18,8,28.354810675646572,Road,2477.564657820455,865,Pipe,7,Customer A,1101.6827407180995,71.32179202016671
Type B,83.17686860083553,Location 3,Refinery 2,20,8,56.72051179756732,Ship,1638.1598267536942,309,Ship,3,Customer A,1157.6381411615598,129.49302008628564
Type B,58.90179834348757,Location 2,Refinery 3,13,7,38.37805981325225,Ship,4542.237774342526,530,Ship,14,Customer B,3350.0499177071165,59.938028992076475
Type B,98.05351587347275,Location 1,Refinery 1,8,9,39.56647115075441,Pipe,1040.0416422365456,393,Road,3,Customer A,1246.5675337472942,145.74192665346172
Type C,57.43313638765565,Location 3,Refinery 3,7,2,24.254957569278755,Pipe,4529.636745775154,842,Road,13,Customer A,4834.182427296348,37.89279055899459
Type B,70.73120618635119,Location 1,Refinery 1,17,3,40.98776370845552,Ship,3286.715513398954,852,Ship,11,Customer C,1567.7328430375942,81.8933236124216
Type C,54.26748340393219,Location 3,Refinery 1,21,8,71.74979044409511,Rail,2326.63137670807,681,Ship,1,Customer A,2218.8912242119145,106.8236699544557
Type A,99.84371259229736,Location 1,Refinery 1,23,6,33.984368713450095,Rail,3892.228501841319,203,Pipe,4,Customer C,4290.071207993394,120.22581840148776
